MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg/L,COND_mS/m,Ca_meq/L,Mg_meq/L,Na_meq/L,K_meq/L,ALK_meq/L,Cl_meq/L,SO4_meq/L,NO32_mg/L,NH4N_mg/L,TOTP_mg/L,DO_mg/L,CODMN_mg/L
Thailand,H010501,2008-01-14,2008,1,14,18.4,7.94,95.33333333333324,23.9,1.3789846517119246,0.5931523022432114,0.4145024691042141,0.0369974921163062,1.7943925233644862,0.2435475229949976,0.3948555544597492,0.26,0.0214121005819699,0.0191929133858267,8.9,1.5284916201117318
Thailand,H013101,2008-01-14,2008,1,14,24.0,7.96,41.000000000000135,23.6,1.466122754491018,0.5144467297408474,0.45774377606632044,0.038249814580704,1.9626168224299068,0.2885983540422787,0.3437179248349898,0.24,0.0675304710662128,0.0248172103487064,8.2,1.9307262569832406
Thailand,H013801,2008-01-14,2008,1,14,24.0,7.9,13.166666666666744,21.45,1.2316410861865408,0.5138134592680049,0.3832868510605635,0.0288250084477786,1.738317757009346,0.2189743424237535,0.3101131967958622,0.195,0.0203140441418688,0.0198959505061867,8.5,0.3217877094972071
Thailand,H050104,2008-01-14,2008,1,14,19.8,7.72,30.166666666666536,11.9,0.6230838323353294,0.2851912793089263,0.24537522708082804,0.0541953342351494,1.2336448598130842,0.0212967564950782,0.0473016864459712,0.165,0.0181179312616668,0.0367688413948256,8.65,0.3217877094972071
Thailand,H310102,2008-01-14,2008,1,14,24.0,7.33,6.666666666666626,15.76,0.3249114521841795,0.2720188902007084,0.6588542332983651,0.0397072588280636,0.5607476635514019,0.6503701791189287,0.1336883745904423,0.06,0.025804326342374,0.0100534308211473,8.5,2.7351955307262585
Thailand,H013101,2008-02-18,2008,2,18,22.0,7.63,64.16666666666667,24.3,1.2867924528301886,0.5132075471698111,0.6806655067420618,0.0897851662404092,1.796875,0.3777401210395158,0.3899589783412394,0.305,0.0522520639565262,0.0659136623858889,8.75,9.230769230769232
Thailand,H013801,2008-02-18,2008,2,18,21.0,7.76,14.66666666666658,23.5,1.369811320754717,0.479245283018868,0.5822444541104829,0.0847391304347826,1.875,0.2639629761480954,0.3803124977391061,0.225,0.0114954540704357,0.0272319356336066,8.7,1.153846153846154
Thailand,H050104,2008-02-18,2008,2,18,21.9,7.87,31.000000000000057,12.13,0.5849056603773585,0.2641509433962263,0.37510656807307524,0.0591061381074168,1.09375,0.0353483779971791,0.0784580422306843,0.205,0.0125404953495663,0.0620454897106606,8.3,1.9230769230769231
Thailand,H310102,2008-02-18,2008,2,18,21.0,7.72,7.833333333333512,15.1,0.3358490566037735,0.2490566037735849,0.7676642018268812,0.1035319693094629,0.546875,0.7900149519401922,0.1086032941123509,0.075,0.061657435468701,0.0249110320284697,8.75,6.9230769230769225
Thailand,H013101,2008-03-17,2008,3,17,29.0,7.48,18.3333333333334,22.0,1.3215686274509806,0.4509803921568626,0.4664071335363202,0.0362890025575447,1.796875,0.2896693140794223,0.3533330883883847,0.055,0.0281874795149131,0.032410135533294,8.1,1.9230769230769231
Thailand,H013801,2008-03-17,2008,3,17,28.0,6.69,6.166666666666682,21.93,1.403921568627451,0.5372549019607844,0.47602000869943456,0.0362276214833759,1.875,0.2896693140794223,0.3533330883883847,0.045,0.0041516442696383,0.0243076016499705,7.7,1.9230769230769231
Thailand,H050104,2008-03-17,2008,3,17,24.0,7.96,26.500000000000064,11.89,0.5843137254901961,0.3450980392156864,0.26231839930404527,0.0620664961636828,1.09375,0.0046151624548736,0.0655227737565982,0.16,0.0085217961324156,0.0721862109605185,7.3,6.153846153846154
Thailand,H380128,2008-03-17,2008,3,17,28.5,7.0,6.999999999999993,14.88,0.4588235294117647,0.211764705882353,0.7158851674641149,0.0642480818414322,0.6209372271271951,0.6208750902527076,0.1377815336003233,0.3,0.0325576313776903,0.033146729522687,7.75,6.538461538461539
Thailand,H013801,2008-04-21,2008,4,21,31.5,7.18,2.999999999999947,23.8,1.2621035058430716,0.6731218697829716,0.5886385384949978,0.0629769820971867,1.74609375,0.2954285714285713,0.4047366599908271,0.2045518801243992,0.0244570534142046,0.0197332922223078,6.65,6.48
Thailand,H050104,2008-04-21,2008,4,21,29.0,7.38,19.16666666666664,12.0,0.5529215358931552,0.3766277128547579,0.35924314919530237,0.0990946291560102,1.1953125,0.0458561354019746,0.064646725096933,0.0575346338705117,0.0391312854627274,0.0143374701302705,6.35,6.88
Thailand,H013801,2008-05-13,2008,5,13,28.5,7.84,100.5,18.9,1.0574257425742577,0.4554455445544555,0.5377816441931275,0.0393810741687979,1.3989637305699485,0.2926853377265238,0.2702107944120631,0.311837327523602,0.0455959789372905,0.0664895476473467,6.03,1.64
Thailand,H013101,2008-06-16,2008,6,16,28.0,6.64,145.5,11.14,0.6556097560975611,0.2360975609756098,0.1799826011309265,0.0194782608695652,0.8756633813495073,0.1633314527503526,0.135996252342286,0.2415169660678642,0.0221332999874953,0.0996430696014277,6.5,3.1578947368421053
Thailand,H013801,2008-06-16,2008,6,16,28.5,7.2,187.3333333333333,13.58,0.8585365853658539,0.3004878048780488,0.22794258373205745,0.0260306905370844,1.0993176648976497,0.1960084626234132,0.1637205912971059,0.2999714856002281,0.0158809553582593,0.1710291493158834,7.1,5.052631578947369
Thailand,H310102,2008-06-16,2008,6,16,29.0,7.32,24.99999999999988,7.49,0.2536585365853659,0.128780487804878,0.2967290126141801,0.0327877237851662,0.4283548142532221,0.2913850493653032,0.0314928169893816,0.0846877673224978,0.0421408028010503,0.0408982748364069,6.85,1.0526315789473684
Thailand,H380104,2008-06-16,2008,6,16,30.6,7.24,53.33333333333336,20.08,0.5931707317073172,0.2692682926829268,0.905311004784689,0.0724552429667519,0.9476876421531464,0.9650973201692524,0.102821153445763,0.3555745651554035,0.1084156558709516,0.0862581796549672,6.05,6.7368421052631575
Thailand,H380128,2008-06-16,2008,6,16,31.0,7.23,45.33333333333333,18.96,0.5073170731707318,0.2575609756097561,0.9296389734667246,0.0642634271099744,0.8150113722517058,0.9044090267983076,0.0923797626483447,0.3042486455660108,0.0221332999874953,0.0721296847114812,6.2,6.105263157894737
Thailand,H010501,2008-07-14,2008,7,14,25.2,7.49,131.33333333333343,17.57,1.1504761904761909,0.4571428571428572,0.10688995215311005,0.0088746803069053,1.506796116504854,0.1320585365853658,0.2637122631688528,0.3392390357246587,0.0479632063074901,0.1202430687428788,7.28,4.9395348837209285
Thailand,H013101,2008-07-14,2008,7,14,29.0,7.53,109.83333333333336,17.41,1.1823240589198034,0.3692307692307693,0.1252936059156155,0.0117877237851662,1.517509727626459,0.1300197461212976,0.1698334374349364,0.2767934940458902,0.0720543144984669,0.1080896315989365,5.35,2.8465116279069753
Thailand,H013801,2008-07-14,2008,7,14,27.5,7.62,159.3333333333334,12.65,0.8209492635024549,0.2513911620294599,0.08925619834710745,0.0089616368286445,1.073929961089494,0.0860084626234132,0.1128357276702061,0.2230612837641591,0.05562855891371,0.1430307633877706,6.75,3.2651162790697663
Thailand,H050104,2008-07-14,2008,7,14,26.3,7.7,147.16666666666663,9.53,0.4477905073649754,0.2435351882160393,0.14043062200956938,0.0445089514066496,0.906614785992218,0.01888995215311,0.0350864043306266,0.1083357537031658,0.0534384581690757,0.1946828712495252,6.75,5.986046511627905
Thailand,H290103,2008-07-14,2008,7,14,28.0,7.83,4.49999999999999,9.32,0.1561904761904762,0.0723809523809524,0.4625489343192693,0.0368030690537084,0.2178988326848249,0.5289186602870816,0.0363897564022485,0.0923613128085971,0.0884800700832238,0.0435244967717432,3.38,4.9395348837209285
Thailand,H310102,2008-07-14,2008,7,14,29.0,7.73,34.00000000000007,8.29,0.2513911620294599,0.1256955810147299,0.3020400173988691,0.0341636828644501,0.4046692607003891,0.3273951219512195,0.0271143035602748,0.0836479814115597,0.0884800700832238,0.0397265476642613,5.88,7.241860465116278
Thailand,H380128,2008-07-14,2008,7,14,31.5,7.56,48.00000000000013,17.49,0.4876190476190478,0.24,0.7339103958242714,0.0533503836317135,0.7689320388349513,0.7758439024390245,0.0867249635644388,0.2738890502468777,0.0709592641261498,0.0731484998101025,6.3,6.195348837209301
Thailand,H290103,2008-08-18,2008,8,18,28.0,7.95,7.000000000000062,5.42,0.0819512195121951,0.1162926829268292,0.234849934754241,0.0263657289002557,0.1984435797665369,0.2531874497184231,0.0195648552987716,0.0234074074074074,0.0412160223544528,0.0275602409638554,3.7,2.9302325581395334
Thailand,H310102,2008-08-18,2008,8,18,29.0,7.83,23.166666666666544,7.17,0.1951219512195121,0.1248780487804877,0.29719443236189647,0.0398618925831202,0.357976653696498,0.242297666934835,0.1200084695226208,0.0115555555555555,0.0770180756708207,0.032078313253012,5.6,5.441860465116277
Thailand,H380104,2008-08-18,2008,8,18,27.5,7.62,51.50000000000016,17.1,0.4487804878048779,0.2068292682926829,0.9340713353632014,0.0659360613810741,0.7198443579766537,0.7541174577634753,0.2085336876092653,0.2737777777777777,0.0447089056048301,0.0757530120481927,5.65,3.7674418604651154
Thailand,H380128,2008-08-18,2008,8,18,31.5,7.57,23.0,12.3,0.2926829268292682,0.1951219512195121,0.6517181383210092,0.0521841432225063,0.5214007782101168,0.473705551086082,0.2115080191282564,0.2026666666666666,0.0447089056048301,0.0539156626506024,5.75,4.186046511627906
Thailand,H010501,2008-09-16,2008,9,16,24.2,8.27,174.3333333333333,18.33,1.2019704433497538,0.4492610837438426,0.22381470204436715,0.0303222506393861,1.5826312378483474,0.0896243980738362,0.3416409540920618,0.2776758409785932,0.0171038156447223,0.1196683297027615,7.8,3.976744186046512
Thailand,H290103,2008-09-15,2008,9,15,29.0,8.24,4.833333333333287,7.95,0.122167487684729,0.0776354679802955,0.49705089169204003,0.0364143222506393,0.2488658457550226,0.4372584269662921,0.0826903886239714,0.028440366972477,0.0316947484222106,0.0205888553158597,3.65,3.1395348837209296
Thailand,H310102,2008-09-15,2008,9,15,25.5,7.24,67.0,4.56,0.1694581280788177,0.1064039408866995,0.17190952588081776,0.0392301790281329,0.2760855476344782,0.0926118780096308,0.076433864894541,0.0162079510703363,0.0649296508598228,0.0508045815473262,6.2,5.232558139534883
Thailand,H380128,2008-09-15,2008,9,15,30.0,7.02,36.99999999999994,14.65,0.4038473053892215,0.1633319621554916,0.855241409308395,0.0424936061381074,0.5055087491898898,0.7263582510578279,0.1310046552012393,0.155,0.0171038156447223,0.043777668470241,6.15,4.395348837209303
Thailand,H010501,2008-10-13,2008,10,13,24.6,7.21,121.66666666672654,22.85,1.5052264808362372,0.7275261324041812,0.17006959547629405,0.0281406649616368,1.787564766839378,0.1518461538461538,0.5231404701563438,0.3044623262618873,0.0283142187692687,0.0923243243243243,8.25,2.689655172413795
Thailand,H290103,2008-10-13,2008,10,13,30.5,8.23,14.500000000019496,9.76,0.1923344947735192,0.1254355400696864,0.5372379295345803,0.0397365728900255,0.310880829015544,0.5504423076923077,0.0766146774029778,0.0996342355523043,0.0585275619681835,0.0238558558558558,4.0,2.689655172413795
Thailand,H310102,2008-10-13,2008,10,13,30.0,8.08,21.66666666671091,6.59,0.2736842105263158,0.1052631578947368,0.22281426707264027,0.0333964194373401,0.4274611398963731,0.2380789844851903,0.0202644180720383,0.0396488661302121,0.0498951781970649,0.0159279279279279,6.55,3.5172413793103456
Thailand,H380104,2008-10-13,2008,10,13,26.5,7.88,18.499999999974648,14.45,0.3888501742160279,0.1797909407665505,0.7471378860374076,0.0503836317135549,0.6217616580310881,0.6914423076923077,0.1234518518974354,0.0220921726408193,0.0533481317055123,0.0339459459459459,3.4,5.785714285714287
Thailand,H380128,2008-10-13,2008,10,13,31.0,7.83,32.99999999995862,13.35,0.4013937282229965,0.1254355400696864,0.6816789908655938,0.047462915601023,0.582901554404145,0.6426346153846154,0.1193493256643442,0.0294074615947329,0.0412627944259464,0.049081081081081,4.05,5.172413793103448
Thailand,H010501,2008-11-17,2008,11,17,21.6,8.04,100.83333333333331,16.71,1.160655737704918,0.4209836065573768,0.13779904306220098,0.0287340153452685,1.5306122448979589,0.1060900321543408,0.2874037060170726,0.4193454545454545,0.0157408478213381,0.0960315056043623,8.35,3.12
Thailand,H050104,2008-11-17,2008,11,17,20.8,8.07,84.0,11.37,0.5665573770491803,0.2754098360655738,0.15937364071335364,0.047621483375959,1.0714285714285712,0.0054405144694533,0.0798171811571455,0.2651636363636364,0.0310319571334952,0.1495506412198324,7.85,5.04
Thailand,H290103,2008-11-17,2008,11,17,28.0,8.09,4.166666666666763,16.12,0.2754098360655737,0.1691803278688524,0.7352022618529797,0.0415242966751918,0.3061224489795918,0.952090032154341,0.0691838434311888,0.2389818181818181,0.059815221721085,0.0344340098959911,4.9,2.16
Thailand,H310102,2008-11-17,2008,11,17,26.5,8.07,5.499999999999949,9.13,0.2675409836065573,0.1298360655737704,0.27721183123097,0.0418797953964194,0.4209183673469387,0.3264308681672026,0.0419925046845721,0.0644363636363636,0.0337303881885817,0.0293850348379279,7.75,5.04
Thailand,H010501,2008-12-15,2008,12,15,18.2,7.22,82.0,23.75,1.4775510204081634,0.6530612244897959,0.33207481513701614,0.0357851662404092,1.862,0.2043478260869565,0.3902710453853665,0.2978244561140285,0.0184958186919451,0.073739368165249,8.75,1.8620689655172422
Thailand,H013101,2008-12-15,2008,12,15,23.0,8.05,70.0,20.97,1.3673469387755104,0.4897959183673469,0.31107872988255764,0.035235294117647,1.769,0.1716521739130435,0.2817707829320289,0.2858214553638409,0.0127754623954673,0.0691828675577156,8.1,1.8620689655172422
Thailand,H013801,2008-12-15,2008,12,15,23.0,8.08,53.0,19.55,1.3102040816326532,0.4367346938775512,0.29765985210961293,0.0333478260869565,1.685,0.1607536231884058,0.2388838548677029,0.2693173293323331,0.0070551060989894,0.0539945321992709,8.15,1.0344827586206897
Thailand,H050104,2008-12-15,2008,12,15,20.0,8.14,39.0,10.96,0.5632653061224491,0.2938775510204083,0.22103958242714222,0.0582710997442455,1.062,0.0163478260869565,0.0768665710691381,0.2258064516129032,0.0223093895562637,0.0813335358444714,8.15,2.2758620689655187
Thailand,H310102,2008-12-15,2008,12,15,22.0,7.62,6.0,12.21,0.4081632653061225,0.1714285714285714,0.5205654632448892,0.047616368286445,0.562,0.4822608695652174,0.0805321204763454,0.1447861965491373,0.0289831385688213,0.0069106925880923,7.75,3.1034482758620694
Thailand,H013101,2009-02-16,2009,2,16,26.0,7.69,18.0,23.07,1.504225352112676,0.5577464788732394,0.4983384080034798,0.0425601023017902,1.8555133079847907,0.2592355848434926,0.3234717666025239,0.0712509144111192,0.013745441562747,0.0491385251550654,8.95,1.241379310344827
Thailand,H013801,2009-02-16,2009,2,16,26.0,7.95,7.0,22.42,1.4830985915492956,0.5661971830985915,0.46469769464984784,0.0420485933503836,1.8555133079847907,0.2257858319604613,0.3059813518543371,0.0931967812728602,0.0351669089332619,0.0339765678842177,7.55,1.241379310344827
Thailand,H050104,2009-02-16,2009,2,16,20.0,8.08,22.0,10.8,0.5915492957746479,0.295774647887324,0.3253588516746412,0.0770639386189258,1.095057034220532,0.0027874794069192,0.0796150225172272,0.0814923189465983,0.0173156861244995,0.0677463818056512,7.9,5.379310344827585
Thailand,H013101,2009-04-20,2009,4,20,31.0,7.43,24.49999999999994,24.9,1.533834586466165,0.7127819548872182,0.5121313614615051,0.0549744245524296,1.872611464968153,0.2820846262341325,0.3971663543618571,0.3161200279134682,0.0282656975570361,0.0479702205365922,6.65,1.6551724137931032
Thailand,H013801,2009-04-20,2009,4,20,30.5,7.51,1.3333333333333253,24.89,1.5157894736842104,0.7127819548872182,0.5119356241844281,0.0503759590792838,1.8343949044585983,0.2920366713681241,0.4195148865292525,0.0704815073272854,0.0301500773941718,0.0247928079786486,6.65,0.8275862068965507
Thailand,H050104,2009-04-20,2009,4,20,27.2,7.68,19.99999999999995,11.86,0.5954887218045113,0.4015037593984962,0.2964984775989561,0.0946317135549872,1.2229299363057324,0.0393488372093023,0.0880485522093862,0.162595952547104,0.0235547479641967,0.0901109706419441,7.0,2.4827586206896557
Thailand,H310102,2009-04-20,2009,4,20,32.0,7.65,2.66666666666672,16.9,0.4781954887218045,0.2481203007518797,0.8753762505437147,0.0624936061381074,0.6496815286624203,0.8027162790697674,0.1649086143590163,0.0202372644801116,0.0829127128339726,0.0212810788032026,6.75,2.89655172413793
Thailand,H380128,2009-04-20,2009,4,20,32.5,7.52,2.999999999999947,15.9,0.5593984962406015,0.2977443609022556,0.6994040887342323,0.0668132992327365,0.9171974522292992,0.5508837209302325,0.1334511205678175,0.0969993021632937,0.0310922673127397,0.0191740412979351,7.0,2.89655172413793
Thailand,H013101,2009-06-15,2009,6,15,29.0,7.87,97.0,17.25,0.861222995239839,0.6327352618088613,0.21508916920400173,0.0304040920716112,1.3602015113350123,0.2378093699515348,0.2576472634059825,0.3851446442533229,0.0145612314641466,0.0888979370249728,6.65,3.7241379310344827
Thailand,H013801,2009-06-15,2009,6,15,30.0,7.83,80.0,18.28,1.0150128158183818,0.5844013181984622,0.2894171378860374,0.0367595907928388,1.322418136020151,0.2596768982229402,0.2926280929023561,0.2913213448006255,0.0145612314641466,0.0732899022801303,6.6,2.89655172413793
Thailand,H050104,2009-06-15,2009,6,15,28.2,7.89,119.0,13.37,0.5272793848407178,0.6283412669351887,0.21513266637668552,0.0802097186700767,1.246851385390428,0.051935379644588,0.1375688390770846,0.2084440969507427,0.026002199043119,0.1594733984799131,7.15,7.862068965517241
Thailand,H310102,2009-06-15,2009,6,15,30.0,7.88,11.0,9.09,0.277240518962076,0.3690955693885023,0.3138538494997825,0.0428158567774936,0.5667506297229219,0.3498804523424879,0.0313720591297106,0.0333072713057075,0.0166414073875962,0.0285016286644951,6.3,2.89655172413793
Thailand,H010501,2009-08-17,2009,8,17,22.4,6.79,201.0,17.41,1.1343065693430656,0.4773722627737227,0.39193562418442807,0.0561662404092071,1.4104193138500636,0.1164096,0.3565313345825525,0.279172588030949,0.0329777042898573,0.1627924138439967,7.38,6.206896551724139
Thailand,H050104,2009-08-17,2009,8,17,24.6,7.23,165.0,10.69,0.437956204379562,0.248868778280543,0.5111874728142671,0.0851048593350383,0.914866581956798,0.0622656,0.1877576514678326,0.2325,0.059617075443224,0.193786436425356,8.05,7.862068965517241
Thailand,H290103,2009-08-17,2009,8,17,30.0,7.48,8.0,9.8,0.1751824817518248,0.1094890510948905,0.6788647237929536,0.0535831202046035,0.3049555273189326,0.6009983999999999,0.0579734753157917,0.042318016737723,0.0283847092634148,0.0321747472511253,3.85,4.137931034482759
Thailand,H310102,2009-08-17,2009,8,17,31.0,7.48,18.0,6.16,0.2102189781021897,0.1664233576642335,0.2900043497172684,0.0428900255754475,0.3811944091486658,0.2246976,0.0365467375770402,0.0296857729354176,0.0329777042898573,0.0358645118441443,6.7,3.7241379310344827
Thailand,H380104,2009-08-17,2009,8,17,29.5,7.37,15.0,12.69,0.3372262773722627,0.1576642335766422,0.8099347542409744,0.0602966751918158,0.6099110546378653,0.6280704,0.1226579666025886,0.216011369019422,0.0770704565437056,0.0609549110766733,5.6,6.206896551724139
Thailand,H380128,2009-08-17,2009,8,17,30.0,7.43,24.0,9.63,0.2408759124087591,0.1445255474452554,0.5955502392344498,0.047851662404092,0.4193138500635324,0.60912,0.0895071648181052,0.1907468814148113,0.0412450953374539,0.0528374289720315,5.65,5.793103448275862
Thailand,H010501,2009-10-12,2009,10,12,25.8,7.38,105.0,21.73,1.4828571428571429,0.6171428571428573,0.23764680295780774,0.0374987212276214,1.6966580976863754,0.1319186440677966,0.4729780991705475,0.288316897877319,0.0220476950137031,0.1352291635153532,7.4,3.6818181818181808
Thailand,H013101,2009-10-12,2009,10,12,30.0,7.57,55.0,17.64,1.0414285714285714,0.4285714285714285,0.3804654197477164,0.0432173913043478,1.311053984575835,0.2867796610169492,0.2543820539228983,0.2532174494400802,0.0287288147148252,0.0837997277265164,6.6,2.8636363636363638
Thailand,H013801,2009-10-12,2009,10,12,28.5,7.56,149.0,16.15,1.1314285714285717,0.3428571428571427,0.29280556763810356,0.0386112531969309,1.3496143958868894,0.1233152542372881,0.2363677997978939,0.2582316563596857,0.0220476950137031,0.1163212827106337,6.75,3.272727272727271
Thailand,H310102,2009-10-12,2009,10,12,29.5,7.67,99.0,8.73,0.3257142857142857,0.1457142857142857,0.4468725532840366,0.0423682864450127,0.5012853470437018,0.355606779661017,0.0759716524925665,0.0225639311382249,0.038273271430714,0.0149750415973377,6.35,3.272727272727271
Thailand,H380104,2009-10-12,2009,10,12,28.5,7.63,8.0,10.52,0.3257142857142857,0.1457142857142857,0.6299869508481949,0.0472890025575447,0.4627249357326478,0.5104677966101695,0.1203144318771926,0.0442921611231823,0.045908836803425,0.0452276508848888,3.65,5.318181818181817
Thailand,H380128,2009-10-12,2009,10,12,30.5,7.56,23.0,8.87,0.2442857142857142,0.1339531057178116,0.5302740321879078,0.0435089514066496,0.3856041131105398,0.4158305084745763,0.11269301667046,0.0359351495905064,0.0401821627738918,0.0444713356527,4.6,4.5
Thailand,H013101,2009-12-16,2009,12,16,28.0,8.19,14.0,21.41,1.585714285714286,0.6,0.28421487603305784,0.0330409207161125,1.9538670284938944,0.2292234636871508,0.3236464912203289,0.1647911207029443,0.0113470811531753,0.0462962962962963,8.33,1.0344827586206915
Thailand,H013801,2009-12-16,2009,12,16,26.0,8.22,6.0,19.83,1.4142857142857144,0.5142857142857143,0.4588560243584167,0.0428337595907928,1.9131614654002715,0.1843240223463687,0.2576228684910758,0.12625250501002,0.0221196265517595,0.0315656565656565,8.15,1.0344827586206915
Thailand,H050104,2009-12-16,2009,12,16,18.2,8.38,41.0,10.57,0.6857142857142858,0.3857142857142857,0.18919965202261857,0.0546317135549872,1.1601085481682498,0.0968882681564246,0.0935443605203576,0.1709572992138122,0.0206832871652816,0.095398428731762,8.65,2.2758620689655187
Thailand,H310102,2009-12-16,2009,12,16,26.0,8.36,0.3,10.41,0.3428571428571429,0.2571428571428571,0.45324923879947804,0.0369948849104859,0.5291723202170964,0.4986201117318435,0.0618399476256172,0.012178202558964,0.0106289114599363,0.0196408529741863,7.3,2.689655172413795
Thailand,H011200,2009-02-17,2009,2,17,21.1,7.69,43.0,27.7,1.753,0.465,0.4,0.05,2.052,0.228,0.519,0.172,0.033,0.021,7.39,0.49
Thailand,H011200,2009-04-20,2009,4,20,26.6,7.78,68.0,29.6,1.586,0.7,0.49,0.055,1.956,0.331,0.581,0.426,0.021,0.036,7.36,4.1
Thailand,H011200,2009-06-19,2009,6,19,24.6,7.73,182.0,24.6,1.44,0.506,0.364,0.04,1.675,0.292,0.497,0.289,0.023,0.059,6.55,1.5
Thailand,H011200,2009-10-21,2009,10,21,28.8,7.65,170.0,21.7,1.33,0.467,0.293,0.041,1.732,0.193,0.416,0.264,0.031,0.0448,6.58,2.08
Thailand,H011200,2009-12-16,2009,12,16,24.5,7.57,34.0,25.6,1.528,0.554,0.373,0.039,1.907,0.12,0.526,0.262,0.038,0.026,8.38,0.3
Thailand,H010501,2010-02-15,2010,2,15,20.0,7.51,28.0,27.82,1.5662337662337664,0.7441558441558443,0.6091822531535451,0.0660639386189258,2.125668449197861,0.2743783783783783,0.5560746006483441,0.2158959537572254,0.0236838543781296,0.020377358490566,6.65,1.674418604651164
Thailand,H010501,2010-08-16,2010,8,16,25.8,7.46,196.0,17.26,1.0375296912114014,0.5643705463182898,0.23978251413658114,0.0382813299232736,1.5683646112600538,0.1180465116279069,0.3221007703518634,0.360013121207151,0.010399181956744,0.1499749445200086,6.85,5.379310344827588
Thailand,H010501,2010-10-18,2010,10,18,24.0,6.8,108.0,21.44,1.4902173913043482,0.4597826086956523,0.25828621139625924,0.038462915601023,1.54557463672391,0.1348293370944993,0.5216552154903186,0.4211158798283261,0.0139009389399811,0.1056581986143187,8.85,3.310344827586208
Thailand,H013101,2010-02-15,2010,2,15,28.0,7.68,16.0,26.43,1.5233766233766235,0.7597402597402599,0.7290517616354937,0.0621432225063938,2.005347593582888,0.4356358463726884,0.494666943334671,0.0265895953757225,0.0453376640952767,0.0241509433962264,5.25,3.767441860465117
Thailand,H013101,2010-04-19,2010,4,19,30.0,7.23,6.0,26.18,1.5239620758483037,0.6001480872069108,0.5002522836015659,0.0409386189258312,2.1161825726141075,0.3332727272727273,0.4512692157329727,0.0297734627831715,0.0351839159241489,0.0410494509543813,7.15,1.241379310344827
Thailand,H013101,2010-08-16,2010,8,16,28.0,7.3,215.0,13.32,0.8266033254156769,0.3306413301662707,0.27438451500652455,0.0326496163682864,1.085790884718499,0.1967441860465116,0.1643618571726004,0.2780055765130392,0.0090486388454785,0.1435321068079318,5.75,4.551724137931036
Thailand,H013101,2010-10-18,2010,10,18,27.0,7.08,191.0,18.9,1.3043478260869568,0.4956521739130434,0.25117442366246195,0.0340716112531969,1.4663143989431968,0.1512693935119887,0.3039579429523215,0.3181115879828326,0.003104093161355,0.1576212471131639,7.8,5.793103448275862
Thailand,H013101,2010-12-14,2010,12,14,27.0,7.88,33.0,22.2,1.3726696606786426,0.512,0.32966507177033494,0.03946547314578,1.8485237483953785,0.1611428571428572,0.4770206121174266,0.2837112688246495,0.0640507242249938,0.055595667870036,7.85,0.6352941176470585
Thailand,H013801,2010-02-15,2010,2,15,28.5,7.57,3.0,25.17,1.4727272727272729,0.6155844155844159,0.5955589386689866,0.0599079283887468,2.005347593582888,0.3441763869132289,0.4451616278330821,0.0554913294797687,0.0236838543781296,0.0113207547169811,6.7,2.093023255813953
Thailand,H013801,2010-04-19,2010,4,19,31.5,7.29,3.0,21.26,1.2395109780439122,0.4797367338543809,0.493518921270118,0.0389820971867007,1.867219917012448,0.257478138222849,0.3628951929025175,0.0346278317152103,0.033851191836113,0.0248360232883779,6.75,1.241379310344827
Thailand,H013801,2010-06-14,2010,6,14,31.0,7.68,61.0,20.5,1.0954063604240285,0.4558303886925793,0.43819051761635497,0.0431867007672634,1.4150943396226414,0.2658857142857143,0.3570441272421013,0.3992181391712276,0.0239704424619266,0.0561924027871431,7.55,2.093023255813953
Thailand,H013801,2010-08-16,2010,8,16,29.0,7.21,207.0,12.94,0.8608076009501188,0.3192399049881234,0.2826185297955633,0.0328260869565217,1.126005361930295,0.1442790697674418,0.1451571934207786,0.2681646711497458,0.0036464664004167,0.1220559811010093,6.25,5.379310344827588
Thailand,H013801,2010-12-14,2010,12,14,25.0,7.78,3.0,20.1,1.2990918163672656,0.628,0.2888212266202697,0.0359539641943734,1.6944801026957637,0.1611428571428572,0.4481678117843015,0.247360221568288,0.0334871006321544,0.0375451263537906,7.8,0.2117647058823522
Thailand,H050104,2010-02-15,2010,2,15,25.8,7.59,21.0,10.91,0.5805194805194807,0.2766233766233767,0.3115224010439322,0.0853299232736572,1.2433155080213905,0.0938662873399715,0.0431503778379097,0.9890173410404623,0.0155636757341994,0.0543396226415094,6.0,0.837209302325582
Thailand,H050104,2010-04-19,2010,4,19,27.0,7.19,29.0,13.44,0.6642115768463074,0.3168819415878239,0.511692040017399,0.1136317135549872,1.576763485477178,0.0512727272727272,0.1243602244999752,0.2676375404530745,0.1484654634072043,0.1316972510870366,5.8,3.724137931034481
Thailand,H050104,2010-06-14,2010,6,14,28.0,7.97,115.0,11.44,0.5300353356890459,0.2402826855123675,0.2753806002609831,0.1145677749360613,1.1725067385444743,0.0241714285714285,0.0739537788881948,0.3288506645817045,0.0769577363251329,0.181314152993182,7.85,7.116279069767442
Thailand,H050104,2010-10-18,2010,10,18,25.2,7.48,216.0,14.05,0.7108483033932136,0.4565217391304348,0.2069986950848195,0.0749411764705882,1.2285336856010567,0.069509167842031,0.0656048303143868,0.4279828326180257,0.0206489675516224,0.2492782909930716,8.05,9.517241379310345
